elbow_angle,stride_knee_angle,drive_knee_angle,trunk_lean,hip_shoulder_separation,stride_length_pct,shoulder_angle,avg_visibility,frame,time_sec,phase
96.45479228377988,95.27855562829049,93.49885985481625,136.68170285897497,0.36089638835180876,50.904240454610964,100.55140533856274,0.7073090126117071,0,0.0,acceleration
143.58021199456073,124.04714036434993,112.61742214511067,152.43806432321887,0.40295940434626487,50.67862805988147,83.4547903966851,0.7038639088471731,8,0.17777777777777778,stride
143.44856350015664,104.8997691796928,101.85836948047044,168.52043041266148,0.4329481129559527,50.158492505200144,74.59739634331959,0.7009659012158712,9,0.2,stride
141.07585542894094,102.46706494068478,99.06738795841886,164.40868592640007,0.25715750826121225,50.087576077292304,74.09346746524162,0.6973137706518173,10,0.2222222222222222,stride
136.29128266272653,92.46352017997191,98.73272713619954,148.23027471629817,0.20518766188366175,50.16965971074381,84.67232294728713,0.6948851694663366,11,0.24444444444444444,stride
145.36828892140946,88.95390678345525,95.04394547113125,145.6802411393222,0.6485680855880682,49.940427190696354,97.96691707544316,0.6930688818295797,12,0.26666666666666666,stride
143.19400542117302,92.36936570477059,93.97485464450912,148.53110227768107,0.39080905115237463,49.75390650902124,92.34946280654096,0.6913159936666489,13,0.28888888888888886,stride
143.23504210471327,93.52181483528567,93.41799509089489,154.74078448841485,0.005566221414086875,49.14490906553634,90.01138192744894,0.69026879966259,14,0.3111111111111111,stride
146.7754700875933,88.04174187317643,90.89283944120041,151.5058156946315,0.5576122981612043,48.978111059944844,97.89746887464422,0.6892695277929306,15,0.3333333333333333,stride
147.449977131686,92.17695357736689,90.8487555449269,160.99384973863843,1.0548663700223178,48.85772024508761,88.28110443683056,0.6875892678896586,16,0.35555555555555557,stride
149.87064436601378,94.26411861527995,95.15263891492897,156.95899501455855,0.9061286270444896,49.269256718830746,96.34053527824676,0.687181313832601,17,0.37777777777777777,stride
150.57087152131754,100.06852453762886,95.90662691983275,154.15712898661022,0.8545604353586849,49.35327348891633,101.59803230913013,0.6864018539587656,18,0.4,stride
150.00612510318751,101.30337165248929,96.93517488723352,153.60762642379646,1.4604457511061308,48.85737405494257,101.7091367760869,0.6871790364384651,19,0.4222222222222222,stride
149.63946479104303,101.15982654987411,96.47178495496034,143.73020812909323,1.1366464159227605,48.723371147026455,110.65113261807932,0.6899998759229978,20,0.4444444444444444,stride
149.1264161393506,102.46469180574493,97.32348775153679,145.71900138342173,0.8203846442760043,48.6318662392676,108.82502294250003,0.6934481610854467,21,0.4666666666666667,stride
147.45891957293344,98.9841002768205,94.0432468508556,145.53551320899072,0.9832143434343584,48.276891324636,110.58450636812191,0.6941808114449183,22,0.4888888888888889,stride
147.3351897941547,92.90866964148762,87.98824890244076,142.24803884134556,1.1119134630963454,47.7399257700997,114.68629054492365,0.6948259820540746,23,0.5111111111111111,stride
147.09553382264437,93.483776423051,92.21680366829385,143.8530860217498,1.165181445909917,47.20285996663694,114.22160103911271,0.6960117022196451,24,0.5333333333333333,stride
132.53204400476267,84.68697327191923,98.60472336720646,137.30672628517385,1.0621516065852377,47.32423794879882,113.71436210180558,0.6984084596236547,25,0.5555555555555556,stride
135.37398843223244,80.59703102755009,98.06223817774628,134.7163578385619,0.8848098976833895,47.75653963885612,120.51882623314097,0.6977604726950327,26,0.5777777777777777,stride
127.25979111060448,82.15104485051357,97.2715514243687,135.61764699538392,1.771439886117462,47.91194638374297,115.09900448851431,0.6991934130589167,27,0.6,acceleration
135.10601354955529,83.00769244745243,97.48491244143152,135.69692818800993,1.6675355083790562,47.86363469980681,119.41171072125125,0.6984070142110189,28,0.6222222222222222,stride
135.95036025978823,82.3569903484119,100.18013222405301,135.26516936896365,2.130953503703398,47.965625411025414,119.15566680977386,0.7004414151112238,29,0.6444444444444445,stride
138.7698279413828,82.41178721718411,101.49574238514623,136.23969752820219,2.2940777549771774,48.12036415483471,118.64463784637518,0.7036998569965363,30,0.6666666666666666,stride
130.9331695035266,82.87805885805828,99.23975315956588,136.91808041641988,2.7692054300079745,48.33201965679569,114.66708539096162,0.7061552653710047,31,0.6888888888888889,stride
135.69079783588705,82.6465504295154,97.74080416786715,138.90467404613835,3.022041869093223,48.4056455595523,113.59864739285818,0.7084133674701055,32,0.7111111111111111,stride
144.78931708906896,84.79317717079377,94.23094605753558,147.24614730547364,2.943692861356274,48.33672217403882,109.45565559550754,0.7097357710202535,33,0.7333333333333333,stride
146.4046707981883,98.49438898057836,94.26382850806755,149.53472267382597,3.1472975417905196,48.374097810726994,102.3150386071199,0.7106022189060847,34,0.7555555555555555,stride
